UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1109804924,B2798,2015/01/21,2019/05/16,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2013875 51.0890337)
1110140844,B2766,2018/05/09,2019/05/30,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-113.9823047 50.9346022)
1110056713,0401,1992/01/01,2017/01/13,11-245,One Way - Arrow Right,450x1350,Flat Sheet,Active,Arm,POINT (-114.0888954 51.0429716)
1110170222,0050,,2018/07/27,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,Pedestal,POINT (-114.1331665 51.1266657)
1109542397,0843,2004/09/16,2019/03/18,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.0441591 50.9827694)
1110156167,0696,1989/04/26,2018/06/04,11-652,Turn Control - Dual Left + Thru,900x900,Flat Sheet,As-built,Arm,POINT (-114.0745411 50.9651322)
1109354445,2575,2007/04/17,2010/09/22,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0626997 51.059848)
1109615181,0486,2010/05/15,2013/06/17,13-163,Prepare To Stop,1500x1500,Other,As-built,Arm,POINT (-114.0248399 51.0349224)
1109697213,1028,2012/06/29,2014/06/30,17-110,YOSG,750X900,Flat Sheet,As-built,Pedestal,POINT (-113.9533626 50.8835277)
1110352458,B2607,2022/01/20,2023/08/17,14-320,TAC Overhead Flasher,900x1200,Other,As-built,Arm,POINT (-113.9562351 51.0488817)
1110054335,B2882,2017/05/24,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-114.251375 51.1305264)
1110073831,0386,2016/03/26,2018/11/27,SPECIAL,Bikes Use Pedestrian Signal,950x600,Flat Sheet,As-built,Trunk,POINT (-114.0534843 51.0443737)
1109356733,0105,2002/09/26,2020/09/16,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,As-built,,POINT (-114.1352653 51.0883003)
1110290358,1008,2020/11/09,2021/08/17,11-650,Turn Control - Left + Thru + Right,900x900,Flat Sheet,Active,Arm,POINT (-114.0575155 51.0161075)
1109354848,0306,2001/01/01,2016/04/13,11-653,Turn Control - Dual Right + Thru,900x900,Flat Sheet,As-built,Arm,POINT (-114.0760991 51.0489155)
1110346574,1103,2021/10/05,2021/10/25,SPECIAL,Bike Signal,600x750,Flat Sheet,Active,Streetlight,POINT (-114.1063805 51.0446035)
1110403441,B2550,2022/12/01,2022/12/06,SPECIAL,TAC Overhead Flasher,950x1276,LED,Active,Arm,POINT (-114.1625707 51.0714049)
1110026635,0809,2004/01/15,2016/08/22,17-110,Yield On Solid Green,750x900,Flat Sheet,As-built,Pedestal,POINT (-114.0675133 51.160403)
1110116057,B2911,2022/01/28,2022/03/02,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1353469 51.1649786)
1110333082,0122,2022/09/25,2022/10/25,11-250,Keep Right,600x750,Flat Sheet,Active,Pedestal,POINT (-114.1534592 51.0882337)
1109626381,B2641,2010/09/02,2019/07/12,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.126685 50.9945878)
1110021652,0366,2017/06/10,2017/09/07,11-800,Stop Line - Arrow Left,600x750,Flat Sheet,As-built,Streetlight,POINT (-114.1408657 51.045158)
1110028614,B2834,2017/05/02,2019/04/29,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Streetlight,POINT (-114.0791756 50.9794826)
1110200770,B2680,2018/11/25,2019/05/21,14-308,Pedestrian Crosswalk,600x750,Flat Sheet,As-built,Trunk,POINT (-114.0258413 50.919151)
1110342072,B0056,2021/12/01,2021/12/08,14-307,Pedestrian Crosswalk,600x750,Flat Sheet,Active,Pedestal,POINT (-114.029646 50.8697621)
1110131837,02237,2017/11/08,2023/08/04,SPECIAL,Turn Control - Left + Bike Thru + Right,1350x900,Flat Sheet,As-built,Arm,POINT (-114.085813 51.0570777)
1110001312,0305,2013/07/09,2016/03/11,11-805,Left Turn Prohibited Except Bicycles,900x900,Flat Sheet,As-built,Arm,POINT (-114.0783946 51.0488863)
